ROWNUM;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;GLOBALID;
490;"Тушинская, вход 2 во второй вестибюль";"37.43738336";"55.82741539";"Тушинская";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:35, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"";"4";"4";"";"85312293";
491;"Тушинская, вход 1 в первый вестибюль";"37.4360318";"55.82567189";"Тушинская";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:35, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"";"5";"5";"";"85312291";
492;"Тушинская, вход 2 в первый вестибюль";"37.43702246";"55.82553732";"Тушинская";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:35, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"";"5";"5";"";"85312292";
493;"Улица 1905 года, вход 1 во второй вестибюль";"37.56086703";"55.76585678";"Улица 1905 года";"Таганско-Краснопресненская линия";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:20, по 2 пути в 06:04:10; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:05";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:25, по 2 пути в 06:02:40; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:10";"2";"2";"4";"";"85312296";
494;"Улица 1905 года, вход 2 во второй вестибюль";"37.56026433";"55.76564062";"Улица 1905 года";"Таганско-Краснопресненская линия";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:20, по 2 пути в 06:04:10; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:05";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:25, по 2 пути в 06:02:40; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:10";"2";"2";"4";"";"85312297";
495;"Улица 1905 года, вход в первый вестибюль";"37.56227183";"55.76400274";"Улица 1905 года";"Таганско-Краснопресненская линия";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:20, по 2 пути в 06:04:10; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:05";"открытие в 05:50:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:25, по 2 пути в 06:02:40; последний поезд по 1 пути в 01:23:25, по 2 пути в 01:39:10";"";"3";"3";"";"85312303";
496;"Улица академика Королёва, вход 1 в вестибюль";"37.62642674";"55.82180068";"Улица академика Королёва";"Московская монорельсовая транспортная система";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:05:40, по 2 пути в 07:10:50; последний поезд по 1 пути в 23:10:40, по 2 пути в 23:15:50";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:05:40, по 2 пути в 07:10:50; последний поезд по 1 пути в 23:10:40, по 2 пути в 23:15:50";"";"";"";"";"85312305";
497;"Улица академика Королёва, вход 2 в вестибюль";"37.62642191";"55.821706";"Улица академика Королёва";"Московская монорельсовая транспортная система";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:05:40, по 2 пути в 07:10:50; последний поезд по 1 пути в 23:10:40, по 2 пути в 23:15:50";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:05:40, по 2 пути в 07:10:50; последний поезд по 1 пути в 23:10:40, по 2 пути в 23:15:50";"";"";"";"";"85312304";
498;"Улица академика Янгеля, вход 1 в северный вестибюль";"37.60100749";"55.59608284";"Улица академика Янгеля";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:07:35, по 2 пути в 01:56:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:35, по 2 пути в 05:48:30; последний поезд по 1 пути в 01:07:35, по 2 пути в 01:56:10";"";"6";"6";"";"85312308";
499;"Улица академика Янгеля, вход 2 в северный вестибюль";"37.60017771";"55.59582775";"Улица академика Янгеля";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:07:35, по 2 пути в 01:56:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:35, по 2 пути в 05:48:30; последний поезд по 1 пути в 01:07:35, по 2 пути в 01:56:10";"";"6";"6";"";"85312306";
